id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 1000000 10 4MB on 0 1 0 s_1 1 187.755
1 1000000 10 4MB on 0 1 0 s_1 2 187.695
1 1000000 10 4MB on 0 1 0 s_1 3 187.926
1 1000000 10 4MB on 0 1 0 s_1 4 188.027
1 1000000 10 4MB on 0 1 0 s_1 5 187.635
2 1000000 10 4MB on 0 1 0 s_2 1 190.388
2 1000000 10 4MB on 0 1 0 s_2 2 192.121
2 1000000 10 4MB on 0 1 0 s_2 3 191.822
2 1000000 10 4MB on 0 1 0 s_2 4 191.277
2 1000000 10 4MB on 0 1 0 s_2 5 192.204
3 1000000 10 4MB on 0 1 0 s_3 1 198.663
3 1000000 10 4MB on 0 1 0 s_3 2 198.304
3 1000000 10 4MB on 0 1 0 s_3 3 198.348
3 1000000 10 4MB on 0 1 0 s_3 4 198.352
3 1000000 10 4MB on 0 1 0 s_3 5 198.321
4 1000000 10 4MB on 0 1 0 s_4 1 205.919
4 1000000 10 4MB on 0 1 0 s_4 2 205.481
4 1000000 10 4MB on 0 1 0 s_4 3 205.458
4 1000000 10 4MB on 0 1 0 s_4 4 205.589
4 1000000 10 4MB on 0 1 0 s_4 5 205.499
5 1000000 10 4MB off 0 0 0 s_1 1 295.726
5 1000000 10 4MB off 0 0 0 s_1 2 296.000
5 1000000 10 4MB off 0 0 0 s_1 3 295.929
5 1000000 10 4MB off 0 0 0 s_1 4 296.016
5 1000000 10 4MB off 0 0 0 s_1 5 296.311
6 1000000 10 4MB off 0 0 0 s_2 1 313.428
6 1000000 10 4MB off 0 0 0 s_2 2 313.183
6 1000000 10 4MB off 0 0 0 s_2 3 313.234
6 1000000 10 4MB off 0 0 0 s_2 4 313.388
6 1000000 10 4MB off 0 0 0 s_2 5 313.091
7 1000000 10 4MB off 0 0 0 s_3 1 321.707
7 1000000 10 4MB off 0 0 0 s_3 2 321.776
7 1000000 10 4MB off 0 0 0 s_3 3 321.367
7 1000000 10 4MB off 0 0 0 s_3 4 321.617
7 1000000 10 4MB off 0 0 0 s_3 5 321.640
8 1000000 10 4MB off 0 0 0 s_4 1 329.851
8 1000000 10 4MB off 0 0 0 s_4 2 329.399
8 1000000 10 4MB off 0 0 0 s_4 3 329.667
8 1000000 10 4MB off 0 0 0 s_4 4 329.631
8 1000000 10 4MB off 0 0 0 s_4 5 329.908
9 1000000 10 8MB on 0 1 0 s_1 1 155.168
9 1000000 10 8MB on 0 1 0 s_1 2 155.141
9 1000000 10 8MB on 0 1 0 s_1 3 155.420
9 1000000 10 8MB on 0 1 0 s_1 4 155.047
9 1000000 10 8MB on 0 1 0 s_1 5 155.365
10 1000000 10 8MB on 0 1 0 s_2 1 159.394
10 1000000 10 8MB on 0 1 0 s_2 2 159.263
10 1000000 10 8MB on 0 1 0 s_2 3 159.146
10 1000000 10 8MB on 0 1 0 s_2 4 159.608
10 1000000 10 8MB on 0 1 0 s_2 5 158.946
11 1000000 10 8MB on 0 1 0 s_3 1 167.071
11 1000000 10 8MB on 0 1 0 s_3 2 166.759
11 1000000 10 8MB on 0 1 0 s_3 3 167.146
11 1000000 10 8MB on 0 1 0 s_3 4 167.205
11 1000000 10 8MB on 0 1 0 s_3 5 166.954
12 1000000 10 8MB on 0 1 0 s_4 1 173.739
12 1000000 10 8MB on 0 1 0 s_4 2 173.807
12 1000000 10 8MB on 0 1 0 s_4 3 173.742
12 1000000 10 8MB on 0 1 0 s_4 4 174.001
12 1000000 10 8MB on 0 1 0 s_4 5 174.124
13 1000000 10 8MB off 0 0 0 s_1 1 264.596
13 1000000 10 8MB off 0 0 0 s_1 2 264.490
13 1000000 10 8MB off 0 0 0 s_1 3 264.450
13 1000000 10 8MB off 0 0 0 s_1 4 264.670
13 1000000 10 8MB off 0 0 0 s_1 5 264.725
14 1000000 10 8MB off 0 0 0 s_2 1 281.345
14 1000000 10 8MB off 0 0 0 s_2 2 281.478
14 1000000 10 8MB off 0 0 0 s_2 3 281.277
14 1000000 10 8MB off 0 0 0 s_2 4 281.681
14 1000000 10 8MB off 0 0 0 s_2 5 281.497
15 1000000 10 8MB off 0 0 0 s_3 1 289.578
15 1000000 10 8MB off 0 0 0 s_3 2 289.723
15 1000000 10 8MB off 0 0 0 s_3 3 289.239
15 1000000 10 8MB off 0 0 0 s_3 4 289.239
15 1000000 10 8MB off 0 0 0 s_3 5 289.572
16 1000000 10 8MB off 0 0 0 s_4 1 297.351
16 1000000 10 8MB off 0 0 0 s_4 2 297.405
16 1000000 10 8MB off 0 0 0 s_4 3 297.555
16 1000000 10 8MB off 0 0 0 s_4 4 297.453
16 1000000 10 8MB off 0 0 0 s_4 5 297.358
17 1000000 10 16MB on 0 1 0 s_1 1 163.540
17 1000000 10 16MB on 0 1 0 s_1 2 163.324
17 1000000 10 16MB on 0 1 0 s_1 3 163.399
17 1000000 10 16MB on 0 1 0 s_1 4 164.197
17 1000000 10 16MB on 0 1 0 s_1 5 163.460
18 1000000 10 16MB on 0 1 0 s_2 1 167.605
18 1000000 10 16MB on 0 1 0 s_2 2 167.513
18 1000000 10 16MB on 0 1 0 s_2 3 167.924
18 1000000 10 16MB on 0 1 0 s_2 4 168.051
18 1000000 10 16MB on 0 1 0 s_2 5 167.607
19 1000000 10 16MB on 0 1 0 s_3 1 175.611
19 1000000 10 16MB on 0 1 0 s_3 2 175.576
19 1000000 10 16MB on 0 1 0 s_3 3 175.468
19 1000000 10 16MB on 0 1 0 s_3 4 175.298
19 1000000 10 16MB on 0 1 0 s_3 5 175.556
20 1000000 10 16MB on 0 1 0 s_4 1 182.878
20 1000000 10 16MB on 0 1 0 s_4 2 183.271
20 1000000 10 16MB on 0 1 0 s_4 3 182.995
20 1000000 10 16MB on 0 1 0 s_4 4 182.360
20 1000000 10 16MB on 0 1 0 s_4 5 182.642
21 1000000 10 16MB off 0 0 0 s_1 1 270.413
21 1000000 10 16MB off 0 0 0 s_1 2 270.225
21 1000000 10 16MB off 0 0 0 s_1 3 270.365
21 1000000 10 16MB off 0 0 0 s_1 4 270.193
21 1000000 10 16MB off 0 0 0 s_1 5 270.343
22 1000000 10 16MB off 0 0 0 s_2 1 283.555
22 1000000 10 16MB off 0 0 0 s_2 2 283.843
22 1000000 10 16MB off 0 0 0 s_2 3 283.750
22 1000000 10 16MB off 0 0 0 s_2 4 283.760
22 1000000 10 16MB off 0 0 0 s_2 5 283.971
23 1000000 10 16MB off 0 0 0 s_3 1 291.546
23 1000000 10 16MB off 0 0 0 s_3 2 291.079
23 1000000 10 16MB off 0 0 0 s_3 3 291.149
23 1000000 10 16MB off 0 0 0 s_3 4 291.410
23 1000000 10 16MB off 0 0 0 s_3 5 291.608
24 1000000 10 16MB off 0 0 0 s_4 1 299.404
24 1000000 10 16MB off 0 0 0 s_4 2 299.134
24 1000000 10 16MB off 0 0 0 s_4 3 299.501
24 1000000 10 16MB off 0 0 0 s_4 4 299.494
24 1000000 10 16MB off 0 0 0 s_4 5 299.334
